Municipio,Total 2010,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2011,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2012,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2013,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2014,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2015,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2016,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado,Total 2017,Menor de 15 años ,15 a 19 años,20 a 39 años,40 años y más,No Especificado
Mezquitic,1639,20,300,1116,81,122,1833,24,407,1173,86,143,1157,14,247,767,53,76,1484,19,315,988,66,96,1271,7,274,843,46,101,979,10,177,694,44,54,1003,10,226,670,36,61,758,3,161,514,31,49
Mixtlán,60,0,8,50,2,0,57,0,12,44,1,0,61,0,12,48,1,0,59,0,10,48,1,0,63,1,10,50,2,0,62,0,15,45,2,0,48,0,9,38,1,0,77,2,7,57,5,6
Ocotlán,2197,14,458,1654,32,39,2019,10,423,1528,28,30,2084,6,411,1612,34,21,1983,17,398,1520,31,17,2072,5,436,1597,26,8,1909,13,388,1468,26,14,1927,6,398,1486,32,5,1936,13,355,1520,30,18
Ojuelos de Jalisco,768,3,134,601,18,12,778,1,173,573,12,19,728,2,150,547,22,7,806,3,156,626,18,3,774,3,114,618,25,14,797,1,150,624,16,6,637,3,112,509,8,5,643,1,127,494,16,5
Pihuamo,267,0,40,203,6,18,272,1,60,199,4,8,244,0,50,178,4,12,236,3,48,172,5,8,242,1,50,178,4,9,203,0,44,147,2,10,193,1,28,155,2,7,249,2,39,194,4,10
Poncitlán,1436,5,285,1066,51,29,1468,3,282,1132,27,24,1467,5,310,1097,44,11,1446,7,289,1108,31,11,1400,3,298,1060,26,13,1333,11,286,992,35,9,1197,13,280,878,20,6,1302,9,327,921,24,21
Puerto Vallarta,5771,20,1152,4432,87,80,5675,16,1121,4342,83,113,5210,16,958,4121,73,42,5567,29,1058,4292,103,85,5151,22,924,4018,113,74,4893,16,800,3948,82,47,5004,17,805,4060,92,30,5105,30,781,4097,100,97
Villa Purificación,247,0,53,181,2,11,289,0,52,217,10,10,264,1,52,198,8,5,246,2,54,182,4,4,231,1,63,165,2,0,217,1,37,172,6,1,204,1,38,156,7,2,237,0,42,188,4,3
Quitupan,166,2,20,128,9,7,160,0,26,116,4,14,157,0,16,132,6,3,175,0,0,123,4,19,153,0,28,116,4,5,159,1,30,120,7,1,147,1,23,113,6,4,153,2,21,121,3,6
El Salto,4192,27,963,2999,71,132,4082,24,966,2921,47,124,4169,20,1067,2935,47,100,4319,27,1069,3073,51,99,3910,25,979,2817,60,29,3749,25,873,2772,55,24,3758,13,873,2810,52,10,3810,27,958,2754,57,14
San Cristóbal de la Barranca,72,0,3,57,7,5,69,0,9,54,0,6,64,0,10,53,0,1,94,0,11,74,3,6,82,0,11,69,1,1,71,0,14,56,1,0,61,0,12,46,2,1,67,1,6,59,1,0
San Diego de Alejandría,192,0,22,157,9,4,183,1,15,157,5,5,183,0,16,154,12,1,166,2,14,139,6,5,155,0,15,135,3,2,147,0,16,127,2,2,168,0,16,144,6,2,158,0,27,122,6,3
San Juan de los Lagos,1674,5,262,1339,39,29,1590,6,248,1291,29,16,1610,7,255,1304,36,8,1585,6,241,1268,28,42,1659,1,230,1372,40,16,1556,6,240,1269,35,6,1581,6,237,1298,34,6,1543,10,236,1225,44,28
San Julián,381,0,37,322,8,14,342,1,38,287,7,9,347,0,37,293,12,5,330,0,27,282,12,9,348,1,31,299,14,3,329,0,25,298,4,2,334,0,36,287,11,0,374,7,33,308,13,13
San Marcos,74,1,18,54,1,0,98,1,15,74,3,5,107,0,18,84,1,4,83,0,19,61,1,2,81,0,15,62,2,2,79,0,13,64,1,1,71,0,8,58,5,0,68,1,15,47,2,3
San Martín de Bolaños,82,0,9,72,1,0,76,0,0,61,2,0,89,2,11,71,4,1,76,0,17,55,2,2,74,0,23,50,0,1,58,0,13,44,1,0,64,0,12,51,1,0,79,4,11,61,2,1
San Martín Hidalgo,547,0,84,444,14,5,518,1,76,419,13,9,526,2,68,444,8,4,528,0,85,426,15,2,519,1,90,405,20,3,482,3,68,394,14,3,420,2,57,352,8,1,437,2,59,354,12,10
San Miguel el Alto,710,1,107,564,28,10,693,1,88,572,19,13,749,3,99,620,19,8,664,3,81,556,22,2,632,0,94,524,10,4,636,0,95,517,21,3,634,1,78,544,9,2,701,1,92,591,16,1
Gómez Farías,341,2,50,277,3,9,332,1,42,283,3,3,348,0,53,280,12,3,332,0,57,270,3,2,336,1,54,273,3,5,332,1,52,273,4,2,319,1,50,263,3,2,307,0,55,245,6,1
San Sebastián del Oeste,129,0,29,91,2,7,113,0,19,76,6,12,106,0,24,72,2,8,74,0,21,48,2,3,87,0,17,62,0,8,89,1,14,72,2,0,78,0,13,59,0,6,105,1,16,83,3,2
Santa María de los ¦ngeles,68,1,8,54,0,5,83,0,7,69,4,3,67,0,8,54,3,2,64,0,6,53,1,4,64,0,4,54,5,1,63,0,8,52,0,3,51,0,7,41,2,1,69,1,5,59,2,2
Sayula,821,4,154,634,11,18,847,2,152,668,14,11,796,2,124,647,16,7,644,2,105,520,12,5,717,0,130,570,14,3,709,3,121,571,9,5,628,0,103,504,19,2,634,2,96,513,17,6
Tala,1538,5,265,1199,28,41,1584,7,327,1196,22,32,1586,6,321,1217,21,21,1581,8,303,1220,22,28,1460,9,329,1075,28,19,1405,7,299,1055,26,18,1496,10,301,1149,26,10,1537,14,350,1124,26,23
Talpa de Allende,311,0,45,259,7,0,284,1,51,218,10,4,274,1,45,213,13,2,307,0,51,240,11,5,309,1,55,242,7,4,241,0,46,184,8,3,265,1,59,193,8,4,244,0,60,179,4,1
Tamazula de Gordiano,827,3,163,603,10,48,793,3,158,599,14,19,835,1,146,662,14,12,743,5,141,571,13,13,820,3,125,668,13,11,739,2,146,562,20,9,717,4,144,542,19,8,777,12,122,584,16,43
Tapalpa,522,1,106,390,8,17,605,3,109,471,12,10,539,0,100,418,9,12,601,3,126,446,16,10,521,3,122,378,11,7,550,0,122,415,7,6,523,4,100,399,10,10,509,1,101,392,9,6
Tecalitlán,365,0,53,292,7,13,368,1,74,275,8,10,313,0,49,258,6,0,302,1,51,243,7,0,308,1,49,246,9,3,250,0,30,216,4,0,228,0,36,184,4,4,265,1,36,220,6,2
Tecolotlán,338,1,67,262,2,6,350,3,61,280,2,4,350,2,59,277,8,4,311,1,62,239,7,2,307,0,56,240,7,4,288,1,52,229,5,1,269,1,51,209,4,4,330,5,51,251,11,12
